Cities,Abbr
"Seinajoki, Finland",SJY
"Seiyun, Yemen",GXF
"Sekakes, Lesotho",SKQ
"Selawik, AK [Selawik Airport], USA",WLK
"Seldovia, AK [Seldovia Airport], USA",SOV
"Selibaby, Mauritania",SEY
"Selibi Phikwe, Botswana",PKW
"Selinsgrove, PA [Penn Valley Airport], USA",SEG
"Selma, AL [Craig Field], USA",SEM
"Selma, AL [Craig Field], USA",SES
"Selmer, TN [Robert Sibley Airport], USA",SZY
"Semarang [Achmadyani], Indonesia",SRG
"Sematan, Malaysia",BSE
"Sembach, Germany",SEX
"Semey (Semipalatinsk), Semey, Kazakhstan",PLX
"Semongkong, Lesotho",SOK
"Semporna, Sabah, Malaysia",SMM
"Sena Madureira, AC, Brazil",ZMD
"Senanga, Zambia",SXG
"Sendai, Honshu, Japan",SDJ
"Senggeh, Indonesia",SEH
"Senggo, Indonesia",ZEG
"Senhor do Bonfim, BA, Brazil",SEI
"Senipah, Indonesia",SZH
"Seno, Laos",SND
"Seo de Urgel, Spain",LEU
"Seoul [Geoje Heliport], South Korea",JGE
"Seoul [Kimpo], South Korea",SEL
"Seoul [Seoul Air Base], South Korea",SSN
"Sept-Iles, QC [Sept-Iles Airport], Canada",YZV
"Sepulot, Malaysia",SPE
"Sequim, WA [Grand View International Airport], USA",SQV
"Seronera, Tanzania",SEU
"Serra Norte, MT, Brazil",RRN
"Serra Pelada, Brazil",RSG
"Serre Chevalier, France",SEC
"Sert, Libya",SRX
"Serui, Indonesia",ZRI
"Sesheke, Zambia",SJQ
"Seshutes, Lesotho",SHZ
"Sette Cama, Gabon",ZKM
"Sevilla [San Pablo], Spain",SVQ
"Sewanee, TN [Franklin County Airport], USA",UOS
"Seward, AK [Seward Airport], USA",SWD
"Seymour, IN [Freeman Municipal Airport], USA",SER
"Sfax [Thyna], Tunisia",SFA
"Shafter, CA [Shafter Airport-Minter Field], USA",MIT
"Shageluk, AK [Shageluk Airport], USA",SHX
"Shakiso, Ethiopia",SKR
"Shaktoolik, AK [Shaktoolik Airport], USA",SKK
"Shamattawa, MB [Shamattawa Airport], Canada",ZTM
"Shamshernagar, Bangladesh",ZHM
"Shanghai [Hongqiao], China",SHA
"Shangri La, OK, USA",NRI
"Shanhaiguan, China",SHF
"Shannon (Limerick), Ireland",SNN
"Shantou, China",SWA
"Shaoguan, China",HSC
"Sharjah, United Arab Emirates",SHJ
"Sharm El Sheikh [Ras Nasrani], Egypt",SSH
"Sharpe Army Depot (Lathrop), CA [Sharpe Army Air Field], USA",LRO
"Sharurah, Saudi Arabia",SHW
"Shashi, China",SHS
"Shauliaj, Lithuania",HLJ
"Shaw River, Western Australia, Australia",SWB
"Shawnee, OK [Shawnee Municipal Airport], USA",SNL
"Shay Gap, Western Australia, Australia",SGP
"Sheboygan, WI [Sheboygan County Memorial Airport], USA",SBM
"Sheep Mountain, AK [Sheep Mountain Airport], USA",SMU
"Shehdi, Ethiopia",SQJ
"Shelby, MT [Shelby Airport], USA",SBX
"Shelby, NC [Shelby Municipal Airport], USA",EHO
"Shelbyville, TN [Bomar Field-Shelbyville Municipal Airport], USA",SYI
"Sheldon Point, AK [Sheldon Point Airport], USA",SXP
"Shelton, WA [Sanderson Field], USA",SHN
"Shemya Island, AK [Shemya Air Force Base], USA",SYA
"Shenchiu, China",SYQ
"Shenyang, China",SHE
"Sheperd Bay, NT [Sheperd Bay Airport], Canada",YUS
"Shepparton, Victoria, Australia",SHT
"Sherbrooke, QC [Sherbrooke Airport], Canada",YSC
"Sheridan, WY [Sheridan County Airport], USA",SHR
"Sherman/Denison, TX [Grayson County Airport], USA",PNX
"Shetland Islands, Shetland Islands, United Kingdom",SDZ
"Shijiazhuang, China",SJW
"Shillavo, Ethiopia",HIL
"Shillong, India",SHL
"Shilo, MB [Shilo Airport], Canada",YLO
"Shimkent (Chimkent), South Kazakhstan, Kazakhstan",CIT
"Shimojishima, Japan",SHI
"Shin Chu, Taiwan",SQH
"Shingle Point, YT [Shingle Point Airport], Canada",YUA
"Shinyanga, Tanzania",SHY
"Shiraz, Iran",SYZ
"Shirley, NY [Brookhaven Airport], USA",WSH
"Shishmaref, AK [Shishmaref Airport], USA",SHH
"Shizuoka City, Japan",QSZ
"Shoal Cove, AK, USA",HCB
"Sholapur, India",SSE
"Shonai, Japan",SYO
"Shoreham, United Kingdom",ESH
"Show Low, AZ [Show Low Municipal Airport], USA",SOW
"Shreveport, LA [Shreveport Downtown Airport], USA",DTN
"Shreveport, LA [Shreveport Regional Airport], USA",SHV
"Shungnak, AK [Shungnak Airport], USA",SHG
"Shute Harbour, Queensland, Australia",JHQ
"Sialkot, Pakistan",SKT
"Sialum, Papua New Guinea",SXA
"Siassi, Papua New Guinea",SSS
"Sibasa, South Africa",SBC
"Sibi, Pakistan",SBQ
"Sibisa, Indonesia",SIW
"Sibiti, Congo",SIB
"Sibiu, Romania",SBZ
"Sibu, Sarawak, Malaysia",SBW
"Sidi Ifni, Morocco",SII
"Sidney, MT [Sidney-Richland Municipal Airport], USA",SDY
"Sidney, NE [Sidney Municipal Airport], USA",SNY
"Sidney, NY [Sidney Municipal Airport], USA",SXY
"Siegen, Germany",SGE
"Siem Reap [Angkor], Cambodia",REP
"Siena, Italy",SAY
"Sierra Grande, Argentina",SGV
"Sierra Leone, Sierra Leone",SRK
"Siglufjordur, Iceland",SIJ
"Sigonella, Italy",NSY
"Siguiri, Guinea",GII
"Sikasso, Mali",KSS
"Sikeston, MO [Sikeston Memorial Municipal Airport], USA",SIK
"Sila, Papua New Guinea",SIL
"Silchar, India",IXS
"Silgadi Doti, Nepal",SIH
"Silistra, Bulgaria",SLS
"Siloam Springs, AR [Smith Field], USA",SLG
"Silver Bay, MN [Silver Bay Municipal Airport], USA",BFW
"Silver City, NM [Grant County Airport], USA",SVC
"Silver Creek, Belize",SVK
"Silver Plains, Queensland, Australia",SSP
"Sim, Papua New Guinea",SMJ
"Simanggang, Malaysia",SGG
"Simao, China",SYM
"Simbai, Papua New Guinea",SIM
"Simbirsk (Ulyanovsk), Ul'yanovsk, Russia",ULY
"Simenti, Senegal",SMY
"Simferopol, Adygea, Ukraine",SIP
"Simikot, Nepal",IMK
"Simla, India",SLV
"Simmons, MI, USA",XMQ
"Simra, Nepal",SIF
"Sindal, Denmark",CNL
"Sines, Portugal",SIE
"Singapore [Changi International Airport], Singapore",SIN
"Singapore [Payalebaar], Singapore",QPG
"Singapore [Seletar], Singapore",XSP
"Singaua, Papua New Guinea",SGB
"Singkep [Dabo Airport], Indonesia",SIQ
"Singleton, New South Wales, Australia",SIX
"Sinoe, Liberia",SNI
"Sinop [Sinop Army Air Field], Turkey",SIC
"Sinop, MT, Brazil",OPS
"Sintang, Borneo, Indonesia",SQG
"Sion (Sitten), Switzerland",SIR
"Sioux City, IA [Sioux Gateway Airport], USA",SUX
"Sioux Falls, SD [Joe Foss Field], USA",FSD
"Sioux Lookout, ON [Sioux Lookout Airport], Canada",YXL
"Sipitang, Malaysia",SPT
"Sipora, Indonesia",RKO
"Sirajganj, Bangladesh",SAJ
"Siren, WI [Burnett County Airport], USA",RZN
"Sirkhet, Nepal",SKH
"Sirri Island, Iran",SXI
"Sishen, South Africa",SIS
"Sissano, Papua New Guinea",SIZ
"Sitia, Crete, Greece",JSH
"Sitiawan, Malaysia",SWY
"Sitka, AK [Sitka Airport], USA",SIT
"Sitkinak, AK, USA",SKJ
"Sittwe (Akyab), Myanmar",AKY
"Siuna, Nicaragua",SIU
"Sivas, Turkey",VAS
"Siwa, Egypt",SEW
"Siwea, Papua New Guinea",SWE
"Skagway, AK [Skagway Airport], USA",SGY
"Skardu, Pakistan",KDU
"Skein [Geiteryggen], Norway",SKE
"Skeldon, Guyana",SKM
"Skelleftea, Sweden",SFT
"Skiathos, Greece",JSI
"Skikda, Algeria",SKI
"Skiros, Greece",SKU
"Skopje, Macedonia",SKP
"Skovde, Sweden",KVB
"Skrydstrup [Vogens], Denmark",SKS
"Skukuza, South Africa",SZK
"Skwentna, AK [Skwentna Airport], USA",SKW
"Slate Island, ON, Canada",YSS
"Slave Lake, AB [Slave Lake Airport], Canada",YZH
"Sleetmute, AK [Sleetmute Airport], USA",SLQ
"Sliac, Slovakia",SLD
"Sligo, Ireland",SXL
"Slupsk, Poland",OSP
"Smara, Morocco",SMW
"Smiggin Holes, New South Wales, Australia",QZC
"Smith Cove, AK, USA",SCJ
"Smith Falls/Montague, ON [Smith Falls/Montague Airport], Canada",YSH
"Smith Point, Northern Territory, Australia",SHU
"Smithers, BC [Smithers Airport], Canada",YYD
"Smithton, Tasmania, Australia",SIO
"Smolensk, Smolensk, Russia",LNX
"Smyrna, TN [Smyrna Airport], USA",MQY
"Snake Bay, Northern Territory, Australia",SNB
"Snake River, YT, Canada",YXF
"Snowdrift, NT [Snowdrift Aerodrome], Canada",YSG
"Snowdrift, NT [Snowdrift Aerodrome], Canada",YSW
"Snyder, TX [Winston Field], USA",SNK
"Soalala, Madagascar",DWB
"Sobral, CE, Brazil",QBX
"Soc Trang, Vietnam",SOA
"Socorro, NM [Socorro Municipal Airport], USA",ONM
"Socotra, Yemen",SCT
"Sodankyla, Finland",SOT
"Soddu, Ethiopia",SXU
"Soderhamn, Sweden",SOO
"Sodertalje [Heliport], Sweden",JSO
"Soerkjosen (Sorkjosen), Norway",SOJ
"Sofia [Vrajdebna], Bulgaria",SOF
"Sogamoso, Colombia",SOX
"Sogndal [Haukasen], Norway",SOG
"Sokcho, South Korea",SHO
"Sokhumi, Abkhazia, Georgia",SUI
"Sokoto, Nigeria",SKO
"Sola, Vanuatu",SLH
"Solano, Venezuela",SQF
"Soldotna, AK [Soldotna Airport], USA",SXQ
"Solita, Venezuela",SOH
"Solo City [Adisumarmo], Indonesia",SOC
"Solomon, AK [Solomon State Field], USA",SOL
"Solon Springs, WI [Solon Springs Municipal Airport], USA",OLG
"Solwezi, Zambia",SLI
"Somerset, KY USA",SME
"Sonderborg (Soenderborg), Denmark",SGD
"Sondre Stromfjord (Kangerlussuaq) [Stromfjord Air Base], Greenland",SFJ
"Songea, Tanzania",SGX
"Songkhla, Thailand",SGZ
"Sophia Antipolis [Heliport], France",SXD
"Sopu, Papua New Guinea",SPH
"Soroako, Indonesia",SQR
"Sorocaba, Brazil",SOD
"Sorong [Jefman], Indonesia",SOQ
"Soroti, Uganda",SRT
"Sorrento, Italy",RRO
"Sorvag (Faroe Islands), Faroe Is. [Vagar], Denmark",FAE
"Souanke, Congo",SOE
"Sousse, Tunisia",QSO
"South Andros, Andros [Congo Town], Bahamas",TZN
"South Bend, IN [Michiana Regional Transportation Airport], USA",SBN
"South Caicos Is., Turks & Caicos",XSC
"South Galway, Australia",ZGL
"South Indian Lake, MB [South Indian Lake Airport], Canada",XSI
"South Molle Island, Queensland, Australia",SOI
"South Naknek, AK [South Naknek nr. 2 Airport], USA",WSN
"South Trout Lake, ON, Canada",ZFL
"South West Bay, Vanuatu",SWJ
"South Weymouth, MA USA",NZW
"Southampton, England [Eastleigh], United Kingdom",SOU
"Southend, England, United Kingdom",SEN
"Southern Cross, Western Australia, Australia",SQC
"Southport, NC [Brunswick County Airport], USA",SHQ
"Soyo, Angola",SZA
"Spangdahlem [Spangdahlem Air Base], Germany",SPM
"Spanish Wells, Bahamas",SWL
"Sparrevohn, AK [Sparrevohn LRRS], USA",SVW
"Sparta, Greece",SPJ
"Sparta, IL [Sparta Community Airport-Hunter Field], USA",SAR
"Sparta, WI [Sparta/Fort McCoy Airport], USA",CMY
"Spartanburg, SC [Spartanburg Downtown Memorial Airport], USA",SPA
"Spearfish, SD [Black Hills Airport-Clyde Ice Field], USA",SPF
"Spence Bay, NT, Canada",YYH
"Spencer, IA [Spencer Municipal Airport], USA",SPW
"Spetsai Island, Greenland",JSS
"Spiez, Switzerland",ZSZ
"Split [Kastel], Croatia",SPU
"Spokane, WA [Fairchild Air Force Base], USA",SKA
"Spokane, WA [Felts Field], USA",SFF
"Spokane, WA [Spokane International Airport], USA",GEG
"Spring Creek, Queensland, Australia",SCG
"Spring Island, BC, Canada",YSQ
"Spring Point, Crooked [Municipal], Bahamas",AXP
"Springbok, South Africa",SBU
"Springdale, AR [Springdale Municipal Airport], USA",SPZ
"Springfield, IL [Capital Airport], USA",SPI
"Springfield, MA, USA",SFY
"Springfield, MO [Springfield Regional Airport], USA",SGF
"Springfield, OH [Springfield-Beckley Municipal Airport], USA",SGH
"Springfield, VT [Hartness State (Springfield) Airport], USA",VSF
"Springfield/Chicopee, MA USA",CEF
"Springvale, Queensland, Australia",KSV
"Springvale, Western Australia, Australia",ZVG
"Srinagar, India",SXR
"St-Honore, QC [St-Honore Airport], Canada",YRC
"St-Jean, QC [St-Jean Airport], Canada",YJN
"St.-Crepin, France",SCP
"St.-Leonard, NB [St.-Leonard Airport], Canada",YSL
"St. Andrews, Scotland, United Kingdom",ADX
"St. Anthony, NF [St. Anthony Airport], Canada",YAY
"St. Augustine, FL [St. Augustine Airport], USA",UST
"St. Catharines, ON [St. Catharines Airport], Canada",YCM
"St. Cloud, MN [St. Cloud Hospital Heliport], USA",JSK
"St. Cloud, MN [St. Cloud Municipal Airport], USA",STC
"St. Eustathius [F.D. Roosevelt], Netherlands Antilles",EUX
"St. Francis, KS [Cheyenne County Municipal Airport], USA",SYF
"St. George Island, AK [St. George Airport], USA",STG
"St. George Oyapock, French Guyana",OYP
"St. George, Queensland, Australia",SGO
"St. George, UT [St. George Municipal Airport], USA",SGU
"St. Helens, Tasmania, Australia",HLS
"St. John's, NF [St. John's Airport], Canada",YYT
"St. Johns, AZ [St. Johns Industrial Air Park], USA",SJN
"St. Joseph, MO [Rosecrans Memorial Airport], USA",STJ
"St. Laurent du Maroni, French Guyana",LDX
"St. Louis, MO [Lambert-St. Louis International Airport], USA",STL
"St. Louis, MO [Missouri Air National Guard Airport], USA",RMF
"St. Louis, MO [Spirit of St. Louis Airport], USA",SUS
"St. Lucia (Castries) [Vigie], St. Lucia",SLU
"St. Lucia (Vieux Fort) [Hewanorra], St. Lucia",UVF
"St. Maarten (Marigot), Netherlands Antilles",MSB
"St. Maarten (Philipsburg) [Princes Juliana], Netherlands Antilles",SXM
"St. Maarten, Netherlands Antilles",QSM
"St. Malo, France",XSB
"St. Mary's, AK [St. Mary's Airport], USA",KSM
"St. Mary's, MD, USA",XSM
"St. Marys, PA [St. Marys Municipal Airport], USA",STQ
"St. Michael, AK [St. Michael Airport], USA",SMK
"St. Paul's Mission, Queensland, Australia",SVM
"St. Paul Island, AK [St. Paul Island Airport], USA",SNP
"St. Paul, AB [St. Paul Aerodrome], Canada",ZSP
"St. Paul, MN [St. Paul Downtown Holman Field], USA",STP
"St. Peter, Germany",PSH
"St. Petersburg (Leningrad), Leningrad [Pulkowo-2], Russia",LED
"St. Petersburg, FL [Albert Whitted Airport], USA",SPG
"St. Petersburg, FL USA",PIE
"St. Pierre, St. Pierre & Miquelon",FSP
"St. Thomas, ON [St. Thomas Airport], Canada",YQS
"St. Tropez, France",JSZ
"Staniel Cay, Bahamas",TYM
"Stanley [Port Stanley], Falkland Islands",PSY
"Stanthorpe, Queensland, Australia",SNH
"Stanton, MN [Stanton Airfield], USA",SYN
"Stara Zagora, Bulgaria",SZR
"Starcke, Queensland, Australia",SQP
"Startford, CT [Sikorsky Heliport], USA",JSD
"State College, PA [University Park], USA",UNV
"State College, PA, USA",SCE
"Statesboro, GA [Statesboro Municipal Airport], USA",TBR
"Statesville, NC [Statesville Municipal Airport], USA",SVH
"Statwag, Papua New Guinea",SWG
"Stauning, Denmark",STA
"Staunton/Waynesboro/Harrisonburg, VA USA",SHD
"Stavanger [Sola], Norway",SVG
"Staverton, England, United Kingdom",SVT
"Stavropol, Stavropol, Russia",STW
"Stawell, Victoria, Australia",SWC
"Ste-Anne-des-Monts, QC, Canada",YSZ
"Ste. Marie, Madagascar",SMS
"Steamboat Bay, AK [Steamboat Bay Seaplane Base], USA",WSB
"Steamboat Springs (Hayden), CO [Yampa Valley Airport], USA",HDN
"Steamboat Springs, CO [Bob Adams Field STOL], USA",SBS
"Stebbins, AK [Stebbins Airport], USA",WBB
"Steenkool, Indonesia",ZKL
"Stella Maris, Long, Bahamas",SML
"Stephen Island, Queensland, Australia",STF
"Stephenville, NF [Stephenville Airport], Canada",YJT
"Stephenville, TX [Clark Field Municipal Airport], USA",SEP
"Sterling, CO [Crosson Field], USA",STK
"Sterling/Rock Falls, IL USA",SQI
"Steubenville, OH [Jefferson County Airpark], USA",JFN
"Stevens Point, WI [Stevens Point Municipal Airport], USA",STE
"Stevens Village, AK [Stevens Village Airport], USA",SVS
"Stewart Island, New Zealand",SZS
"Stewart, BC [Stewart Airport], Canada",ZST
"Stillwater, OK [Stillwater Municipal Airport], USA",SWO
"Stockholm [Arlanda], Sweden",ARN
"Stockholm [Bromma], Sweden",BMA
"Stockholm [Metropolitan Area], Sweden",STO
"Stockholm, Papua New Guinea",SMP
"Stockton, CA [Stockton Metropolitan Airport], USA",SCK
"Stoelmanseiland, Suriname",SMZ
"Stokmarknes [Skagen], Norway",SKN
"Stony Rapids, SK [Stony Rapids Airport], Canada",YSF
"Stony River, AK [Stony River 2 Airport], USA",SRV
"Stord [Sorstukken], Norway",SRP
"Storm Lake, IA [Storm Lake Municipal Airport], USA",SLB
"Stornway, United Kingdom",SYY
"Storuman, Sweden",SQO
"Stow, MA [Minute Man Airfield], USA",MMN
"Stradbroke Island, Queensland, Australia",SRR
"Strahan, Tasmania, Australia",SRN
"Strasbourg [Entzheim], France",SXB
"Strathmore, CA [Eckert Field], USA",STH
"Streaky Bay, South Australia, Australia",KBY
"Stronsay, United Kingdom",SOY
"Stroud, OK [Stroud Municipal Airport], USA",SUD
"Struga, Macedonia",QXP
"Strzhewoi, Russia",SWT
"Stuart Island, BC [Stuart Island Water Aerodrome], Canada",YRR
"Stuart Island, WA [Stuart Island Airpark], USA",SSW
"Stuart, FL [Witham Field], USA",SUA
"Sturdee, BC, Canada",YTC
"Sturgeon Bay, WI [Door County Cherryland Airport], USA",SUE
"Sturgis, MI [Kirsch Municipal Airport], USA",IRS
"Sturt Creek, Western Australia, Australia",SSK
"Stuttgart [Echterdingen], Germany",STR
"Stuttgart [Main Station Downtown], Germany",ZWS
"Stuttgart, AR [Stuttgart Municipal Airport], USA",SGT
"Stykkisholmur, Iceland",SYK
"Su Won City, South Korea",SWU
"Suai, Indonesia",UAI
"Suavanao, Solomon Islands",VAO
"Suceava, Romania",SCV
"Sucre [Juana Azurduy de Padilla], Bolivia",SRE
"Sucua, Ecuador",SUQ
"Sudbury, ON [Sudbury Airport], Canada",YSB
"Sudureyri, Iceland",SUY
"Sue Island, Queensland, Australia",SYU
"Suffield, AB [Suffield Airport], Canada",YSD
"Suffolk, England [Bentwaters Station], United Kingdom",BWY
"Sugapa, Indonesia",ZGP
"Sugar Land (Houston), TX USA",SGR
"Sui, Pakistan",SUL
"Suia-Missu, MT, Brazil",SWM
"Suki, Papua New Guinea",SKC
"Sukkertoppen, Greenland",JSU
"Sukkur, Pakistan",SKZ
"Sulaco, Honduras",SCD
"Sulayel, Saudi Arabia",SLF
"Sule, Papua New Guinea",ULE
"Sullivan Bay, BC [Sullivan Bay Water Aerodrome], Canada",YTG
"Sullivan, IN [Sullivan County Airport], USA",SIV
"Sullivan, MO [Sullivan Regional Airport], USA",UUV
"Sulphur Springs, TX [Sulphur Springs Municipal Airport], USA",SLR
"Sumbawa Besar, Sumbawa, Indonesia",SWQ
"Sumbawanga, Tanzania",SUT
"Sumbe, Angola",NDD
"Sumenep, Indonesia",SUP
"Summer Beaver, Canada",SUR
"Summerdale, AL [Summerdale Naval Outlying Field], USA",NFD
"Summerside, PE [Summerside Airport], Canada",YSU
"Summerville, SC [Dorchester County Airport], USA",DYB
"Summit Lake, BC, Canada",IUM
"Summit, AK [Summit Airport], USA",UMM
"Sumter, SC [Shaw Air Force Base], USA",SSC
"Sumter, SC [Sumter Municipal Airport], USA",SUM
"Sumy, Sumy, Ukraine",UMY
"Sun Moon Lake, Taiwan",SMT
"Sun River, United Kingdom",SUO
"Sun Valley (Hailey), ID [Friedman Memorial Airport], USA",SUN
"Sundance, WY [Schloredt Airport], USA",SUC
"Sundsvall [Harnosand], Sweden",SDL
"Sungal Pakning, Indonesia",SEQ
"Sungei Takai, Malaysia",GTK
"Sungei Tiang, Malaysia",SXT
"Sunnyvale, CA [Sunnyvale Airport], USA",JSV
"Sunyani, Ghana",NYI
"Superior, WI [Richard I. Bong Airport], USA",SUW
"Sur, Oman",SUH
"Surabaya [Juanda], Indonesia",SUB
"Surat Thani, Thailand",URT
"Surat, India",STV
"Surfdale, New Zealand",WIK
"Surfers Paradise, Queensland, Australia",SFP
"Surgut, Tyumen, Russia",SGC
"Suria, Papua New Guinea",SUZ
"Surigao, Philippines",SUG
"Sursee, Switzerland",ZKU
"Susanville, CA [Susanville Municipal Airport], USA",SVE
"Suttonhead, England [Woodbridge RAF Station], United Kingdom",WOB
"Suva [Nausori International], Fiji",SUV
"Suzhou, China",SZV
"Svalbard [Longyearbyen], Norway",LYR
"Svay Rieng, Cambodia",SVR
"Sveg, Sweden",EVG
"Svolvaer [Helle], Norway",SVJ
"Swakopmund, Namibia",SWP
"Swan Hill, Victoria, Australia",SWH
"Swan River, MB [Swan River Airport], Canada",YSE
"Swansboro, NC USA",NJM
"Swansea, Wales, United Kingdom",SWS
"Sweetwater, TX [Avenger Field], USA",SWW
"Swift Current, SK [Swift Current Airport], Canada",YYN
"Swindon, United Kingdom",SWI
"Sydney, New South Wales [Aurose Bay], Australia",RSE
"Sydney, New South Wales [Kingsford Smith], Australia",SYD
"Sydney, New South Wales [Palm Beach], Australia",LBH
"Sydney, NS [Sydney Airport], Canada",YQY
"Syktyvkar, Komi, Russia",SCW
"Sylhet [Osmany/Shylet], Bangladesh",ZYL
"Sylvania, GA [Plantation Airpark], USA",JYL
"Sylvester, GA [Sylvester Airport], USA",SYV
"Syracuse, NY [Syracuse Hancock International Airport], USA",SYR
"Syros Island, Greece",JSY
"Szczecin (Stettin) [Goleniow], Poland",SZZ
"Tabarka, Tunisia",TBJ
"Tabatinga, AM, Brazil",TBT
"Tabibuga, Papua New Guinea",TBA
"Tabiteuea North, Kiribati",TBF
"Tabiteuea South, Kiribati",TSU
"Tablas, Philippines",TBH
"Tableland, Australia",TBL
"Tablon de Tamara, Colombia",TTM
"Tabora, Tanzania",TBO
"Tabou, Ivory Coast",TXU
"Tabriz, Iran",TBZ
"Tabubil, Papua New Guinea",TBG
"Tabuk, Saudi Arabia",TUU
"Tachilek, Myanmar",THL
"Tacloban, Philippines",TAC
"Tacna [Coronel Carlos Ciriani Santa Rosa], Peru",TCQ
"Tacoma, WA [McChord Air Force Base], USA",TCM
"Tacoma, WA [Tacoma Narrows Airport], USA",TIW
"Tacuarembo, Uruguay",TAW
"Tadji, Papua New Guinea",TAJ
"Tadjoura, Djibouti",TDJ
"Tadoule Lake, MB [Tadoule Lake Airport], Canada",YBQ
"Tadoule Lake, MB [Tadoule Lake Water Aerodrome], Canada",XTL
"Taegu, South Korea",TAE
"Taejon, South Korea",QTW
"Tafarovi, Algeria",TAF
"Taftan, Pakistan",TFT
"Tagbilaran, Philippines",TAG
"Taguac, Guam",WUM
"Tagula, Papua New Guinea",TGL
"Taharoa, New Zealand",THH
"Tahneta Pass Lodge, AK [Tahneta Pass Airport], USA",HNE
"Tahoua, Niger",THZ
"Tahsis, BC [Tahsis Water Aerodrome], Canada",ZTS
"Taichung, Taiwan",TXG
"Taif, Saudi Arabia",TIF
"Tainan, Taiwan",TNN
"Taipei [Chiang Kai Shek], Taiwan",TPE
"Taipei [Sung Shan], Taiwan",TSA
"Taiping, Malaysia",TPG
"Taisha, Ecuador",TSC
"Taitung, Taiwan",TTT
"Taiyuan [Wuau], China",TYN
"Taiz [Ganed], Yemen",TAI
"Tak, Thailand",TKT
"Takaka, New Zealand",KTF
"Takamatsu, Japan",TAK
"Takapoto, French Polynesia",TKP
"Takaroa, French Polynesia",TKX
"Takhli, Thailand",TKH
"Takoradi, Ghana",TKD
"Takotna, AK [Takotna Airport], USA",TCT
"Takotna, AK [Tatalina LRRS], USA",TLJ
"Taku Lodge, AK [Taku Lodge Seaplane Base], USA",TKL
"Talara [Capitan Montes], Peru",TYL
"Talasea, Papua New Guinea",TLW
"Talca, Chile",TLX
"Taldyqorghan (Taldy Kurgan), Taldyqorghan, Kazakhstan",TDK
"Taliabu, Indonesia",TAX
"Talkeetna, AK [Talkeetna Airport], USA",TKA
"Talknafjordur, Iceland",TLK
"Talladega, AL [Talladega Municipal Airport], USA",ASN
"Tallahassee, FL [Tallahassee Regional Airport], USA",TLH
"Tallinn [Yulemiste], Estonia",TLL
"Taltal, Chile",TTC
"Taluqan, Afghanistan",TQN
"Tamale, Ghana",TML
"Tamana, Kiribati",TMN
"Tamanrasset, Algeria",TMR
"Tamarindo, Costa Rica",TNO
"Tamatave, Madagascar",TMM
"Tambacounda, Senegal",TUD
"Tambao, Burkina Faso",TMQ
"Tambohorano, Madagascar",WTA
"Tambolaka, Indonesia",TMC
"Tambor, Costa Rica",TMU
"Tambov, Tambov, Russia",TBW
"Tamchakett, Mauritania",THT
"Tame, Colombia",TME
"Tamky, Vietnam",TMK
"Tampa, FL [Mac Dill Air Force Base], USA",MCF
"Tampa, FL [Peter O'Knight Airport], USA",TPF
"Tampa, FL [Tampa International Airport], USA",TPA
"Tampere [Pirkkala], Finland",TMP
"Tampico [General Francisco Javier Mina], Mexico",TAM
"Tamuin, Mexico",TSL
"Tamworth, New South Wales, Australia",TMW
"Tan Tan [Plage Blanche], Morocco",TTA
"Tanacross, AK [Tanacross Airport], USA",TSG
"Tanah Grogot, Indonesia",TNB
"Tanahmerah, Indonesia",TMH
"Tanalian, AK, USA",TPO
"Tanana, AK [Ralph M. Calhoun Memorial Airport], USA",TAL
"Tanandava, Madagascar",TDV
"Tanatoraja, Indonesia",TTR
"Tanbar, Queensland, Australia",TXR
"Tandag, Philippines",TDG
"Tandil, Argentina",TDL
"Tanegashima, Japan",TNE
"Tanga Island, Papua New Guinea",WXH
"Tanga, Tanzania",TGT
"Tangalooma, Australia",TAN
"Tanger (Tangier) [Boukhalef], Morocco",TNG
"Tanjung [Balai], Indonesia",TJB
"Tanjung [Santan], Indonesia",TSX
"Tanjung Pandan [Buluh Tumbang], Indonesia",TJQ
"Tanjung Pinang [Kijang], Indonesia",TNJ
"Tanjung Selor, Borneo, Indonesia",TJS
"Tanjung, Indonesia",TJG
"Tanna Island, Vanuatu",TAH
"Taos, NM [Taos Municipal Airport], USA",TSM
"Tapachula, Mexico",TAP
"Tapaktuan, Indonesia",TPK
"Tapeta, Liberia",TPT
"Taplejung, Nepal",TPJ
"Tara, Queensland, Australia",XTR
"Tarakan, Borneo, Indonesia",TRK
"Tarakbits, Papua New Guinea",TRJ
"Taramajima, Japan",TRA
"Taranto, Italy",TAR
"Tarapaca, Colombia",TCD
"Tarapaina, Solomon Islands",TAA
"Tarapoa, Ecuador",TPC
"Tarapoto, Peru",TPP
"Tarauaca, AC, Brazil",TRQ
"Tarawa [Bonriki], Kiribati",TRW
"Tarbela, Pakistan",TLB
"Tarbes, France",TFR
"Tarcoola, South Australia, Australia",TAQ
"Taree, New South Wales, Australia",TRO
"Tarfaya, Morocco",TFY
"Targovishte, Bulgaria",TGV
"Tari, Papua New Guinea",TIZ
"Taroom, Queensland, Australia",XTO
"Tarragona [Reus], Spain",QGN
"Tartagal [General Enrique Mosc], Argentina",TTG
"Tartu, Estonia",TAY
"Tashkent, Tashkent [Yuzhny], Uzbekhistan",TAS
"Tasikmalaya, Indonesia",TSY
"Tasiujuaq, QC, Canada",YTQ
"Taskul, Papua New Guinea",TSK
