Cities	Countries	Abbr	
Samarinda	 Indonesia	SRI	
Samarqand (Samarkand)	 Samarqand	SKD	
Sambava	 Madagascar	SVB	
Sambu	 Panama	SAX	
Samburu	 Kenya	UAS	
Samchok	 South Korea	SUK	
Samedan/St. Moritz	 Switzerland	SMV	
Samos	 Samos Island	SMI	
Sampit	 Borneo	SMQ	
Samsun	 Turkey	SSX	
San Andres Island	 San Andres [Sesquicentenario]	ADZ	
San Andros (Nichols Town)	 Andros [San Andros]	SAQ	
San Angelo	 TX [Goodfellow Air Force Base]	GOF	
San Angelo	 TX [Mathis Field]	SJT	
San Antonio Oeste [Antoine de Ste.-Exupery]	 Argentina	OES	
San Antonio	 TX [Kelly Air Force Base]	SKF	
San Antonio	 TX [Martindale Army Air Field] USA	MDA	
San Antonio	 TX [San Antonio International Airport]	SAT	
San Antonio	 TX [Stinson Municipal Airport]	SSF	
San Antonio	 Venezuela	SVZ	
San Bernardino	 CA [County Heliport]	SBT	
San Bernardino	 CA [San Bernardino International Airport]	SBD	
San Blas	 Panama	NBL	
San Borja	 Bolivia	SRJ	
San Carlos de Bariloche	 Argentina	BRC	
San Carlos	 CA [San Carlos Airport]	SQL	
San Clemente Island	 CA USA	NUC	
San Cristobal	 Venezuela	SCI	
San Diego (El Cajon)	 CA [Gillespie Field]	SEE	
San Diego	 CA [Brown Field Municipal Airport]	SDM	
San Diego	 CA [Miramar Naval Air Station (Mitscher Field)]	NKX	
San Diego	 CA [Montgomery Field]	MYF	
San Diego	 CA [North Island Naval Air Station (Halsey Field)]	NZY	
San Diego	 CA [San Diego Int. Airport-Lindbergh Field]	SAN	
San Esteban	 Honduras	SET	
San Felipe	 Colombia	SSD	
San Felipe	 Mexico	SFH	
San Felipe	 Venezuela	SNF	
San Felix	 Venezuela	SFX	
San Fernando de Apu	 Venezuela	SFD	
San Fernando	 CA	SFR	
San Fernando	 Philippines	SFE	
San Francisco	 CA [China Basin Heliport]	JCC	
San Francisco	 CA [Embarcadero]	EMB	
San Francisco	 CA [Metropolitan Area]	QSF	
San Francisco	 CA [San Francisco International Airport]	SFO	
San Francisco	 Peru	SCY	
San Francisquito	 Mexico	SFQ	
San Ignacio de Moxos	 Bolivia	SNM	
San Ignacio de VLS	 Bolivia	SNG	
San Ignacio	 Mexico	SGM	
San Isidro	 Dominican Republic	ZXD	
San Javier	 Bolivia	SJV	
San Joaquin	 Bolivia	SJB	
San Jose [El Coco]	 Costa Rica	OCO	
San Jose [Juan Santamaria International]	 Costa Rica	SJO	
San Jose del Guaviaro	 Colombia	SJE	
San Jose	 Bolivia	SJS	
San Jose	 CA [Reid-Hillview of Santa Clara County Airport]	RHV	
San Jose	 CA [San Jose International Airport]	SJC	
San Jose	 Philippines	SJI	
San Juan [Ferdinando Luis Ribas Dominicci Airport]	 Puerto Rico	SIG	
San Juan [Luis Munoz Marin International Airport]	 Puerto Rico	SJU	
San Juan Aposento	 Peru	APE	
San Juan de la Mar	 Dominican Republic	SJM	
San Juan de Uraba	 Colombia	SJR	
San Juan del Cesar	 Colombia	SJH	
San Juan	 AK [San Juan (Uganik) Seaplane Base]	WSJ	
San Juan	 Argentina	UAQ	
San Juan	 Peru	SJA	
San Julian [Capitan Jose D. Vasquez]	 Argentina	ULA	
San Julian	 Cuba	SNJ	
San Luis de Palenque	 Colombia	SQE	
San Luis Obispo	 CA USA	CSL	
San Luis Obispo	 CA USA	SBP	
San Luis Potosi	 Mexico	SLP	
San Luis Rio Colorado	 Mexico	UAC	
San Luis	 Argentina	LUQ	
San Marcos	 Colombia	SRS	
San Marino	 San Marino	SAI	
San Martin de los Andes [Chapelco]	 Argentina	CPC	
San Miguel	 Panama	NMG	
San Nicolas de Bari	 Cuba	QSN	
San Pablo	 Spain	SPO	
San Pedro (Catalina Island)	 CA [Catalina Sea-Air Terminal]	SPQ	
San Pedro [Ambregris Caye]	 Belize	SPR	
San Pedro de Uraba	 Colombia	NPU	
San Pedro Jagua	 Colombia	SJG	
San Pedro Sula [La Mesa]	 Honduras	SAP	
San Pedro	 Ivory Coast	SPY	
San Quintin	 Mexico	SNQ	
San Rafael	 Argentina	AFA	
San Ramon	 Bolivia	SRD	
San Salvador (Cockburn Town)	 San Salvador	ZSA	
San Salvador [Internacional]	 El Salvador	SAL	
San Salvador	 Venezuela	SVV	
San Sebastian	 Spain	EAS	
San Tome	 Venezuela	SOM	
San Vicente del Caguan	 Colombia	SVI	
Sanaa (Sana'a) [El Rahaba]	 Yemen	SAH	
Sanana	 Indonesia	SQN	
Sanandaj	 Iran	SDG	
Sancti Spiritu	 Cuba	QSP	
Sand Point	 AK [Sand Point Airport]	SDP	
Sandakan	 Sabah	SDK	
Sandane [Anda]	 Norway	SDN	
Sanday	 Orkney Islands	NDY	 United Kingdom
Sandcreek	 Guyana	SDC	
Sandefjord [Torp]	 Norway	TRF	
Sandersville	 GA [Kaolin Field]	OKZ	
Sandnessjoen [Stokka]	 Norway	SSJ	
Sandoway	 Myanmar	SNW	
Sandringham	 Queensland	SRM	
Sandspit	 BC [Sandspit Airport]	YZP	
Sandstone	 Western Australia	NDS	
Sandusky	 OH [Griffing Sandusky Airport]	SKY	
Sandwip	 Bangladesh	SDW	
Sandy Lake	 ON [Sandy Lake Airport]	ZSJ	
Sandy	 OR [Sandy River Airport]	KSR	
Sanfebagar	 Nepal	FEB	
Sanford	 FL [Central Florida Regional Airport]	SFB	
Sanford	 ME [Sanford Municipal Airport]	SFM	
Sanga Sanga	 Philippines	SGS	
Sangapi	 Papua New Guinea	SGK	
Sanggata	 Indonesia	SGQ	
Sangir	 Indonesia	SAE	
Sangley Point	 Philippines	NSP	
Sanikiluaq	 NT [Sanikiluaq Airport]	YSK	
Sans Souci	 ON	YSI	
Santa Ana [Santa Ana Seaplane Base]	 Solomon Islands	NNB	
Santa Ana	 Bolivia	SBL	
Santa Ana	 CA [El Toro Marine Corps Air Station]	NZJ	
Santa Ana	 Colombia	SQB	
Santa Barbara	 CA [Downtown]	DNT	
Santa Barbara	 CA [Santa Barbara Municipal Airport]	SBA	
Santa Barbara	 CA [Santa Cruz Island Airport]	SZN	
Santa Barbara	 Venezuela	SBB	
Santa Barbara	 Venezuela	STB	
Santa Carolina	 Mozambique	NTC	
Santa Catalina	 Colombia	SCA	
Santa Cecilia	 Ecuador	WSE	
Santa Clara	 Cuba	SNU	
Santa Cruz (Flores Island)	 Azores	FLW	
Santa Cruz [El Trompillo]	 Bolivia	SRZ	
Santa Cruz [Viru Viru International]	 Bolivia	VVI	
Santa Cruz de la Palma	 Spain	SPC	
Santa Cruz de Tenerife	 Canary Islands	TFS	
Santa Cruz	 Argentina	RZA	
Santa Cruz	 Belize	STU	
Santa Cruz	 Brazil	SNZ	
Santa Cruz	 CA	SRU	
Santa Cruz	 Costa Rica	SZC	
Santa Cruz	 Solomon Islands	SCZ	
Santa Cruz/Huatulco [Bahias de Huatulco]	 Mexico	HUX	
Santa Elena	 Guatemala	SNV	
Santa Fe [Sauce Viejo]	 Argentina	SFN	
Santa Fe do Sul	 Brazil	SFV	
Santa Fe	 NM [Santa Fe Bus Station]	ZSH	
Santa Fe	 NM [Santa Fe County Municipal Airport]	SAF	
Santa Fe	 Panama	SFW	
Santa Inez	 CA	SQA	
Santa Isabel	 Brazil	IDO	
Santa Katarina	 Egypt	SKV	
Santa Lucia	 Peru	SQD	
Santa Maria	 Azores	SMA	
Santa Maria	 CA [Santa Maria Public Airport]	SMX	
Santa Maria	 Colombia	SMC	
Santa Maria	 Peru	SMG	
Santa Maria	 RS	RIA	
Santa Marta [Simon Bolivar]	 Colombia	SMR	
Santa Monica	 CA [Santa Monica Municipal Airport]	SMO	
Santa Paula	 CA [Santa Paula Airport]	SZP	
Santa Rosa de Copan	 Honduras	SDH	
Santa Rosa	 Argentina	RSA	
Santa Rosa	 Bolivia	SRB	
Santa Rosa	 CA [Sonoma County Airport]	STS	
Santa Rosa	 RS	SRA	
Santa Rosalia	 Mexico	SRL	
Santa Rosalia	 Venezuela	SSL	
Santa Teresita	 Argentina	SST	
Santa Terezinha	 Brazil	STZ	
Santa Vitoria	 MG	CTQ	
Santa Ynez	 CA [Santa Ynez Airport]	IZA	
Santana do Livramento	 RS	LVB	
Santana Ramos	 Colombia	SRO	
Santander	 Spain	SDR	
Santarem	 PA	STM	
Santiago [Antonio Maceo]	 Cuba	SCU	
Santiago [Cibao]	 Dominican Republic	STI	
Santiago de Chile [Arturo Merino Benitez]	 Chile	SCL	
Santiago de Chile	 Chile	ULC	
Santiago de Compostela [Santiago]	 Spain	SCQ	
Santiago del Estero	 Argentina	SDE	
Santo Andre	 SP	QSE	
Santo Angelo	 RS	GEL	
Santo Antao	 Cape Verde	NTO	
Santo Domingo [Aeropuerto de las Americas]	 Dominican Republic	SDQ	
Santo Domingo	 Venezuela	STD	
Santo Don Herrera	 Dominican Republic	HEX	
Santorini	 Thira	JTR	
Santos	 SP	SSZ	
Sanya	 China	SYX	
Sao Bento do Sul	 SC	QHE	
Sao Bernardo do Campo	 SP	QSB	
Sao Caetano do Sul	 SP	QCX	
Sao Carlos	 SP	QSC	
Sao Domingos	 Guinea Bissau	SLY	
Sao Felipe	 Cape Verde	SFL	
Sao Felix Araguai	 Brazil	SXO	
Sao Felix de Xingu	 Brazil	SXX	
Sao Francisco do Sul	 SC	QFS	
Sao Gabriel	 Brazil	SJL	
Sao Goncalo do Amarante	 RN	QTE	
Sao Goncalo	 RJ	QSD	
Sao Joao del Rei	 MG	QSJ	
Sao Jorge	 Azores	SJZ	
Sao Jose do Rio Preto	 SP	SJP	
Sao Jose do Xingu	 Brazil	SXN	
Sao Jose dos Lampos	 SP	SJK	
Sao Leopoldo	 RS	QLL	
Sao Lourenco	 Brazil	SSO	
Sao Luis	 MA	SLZ	
Sao Mateus	 ES	SBJ	
Sao Miguel de Aragao	 Brazil	SQM	
Sao Nicolau	 Sao Nicolau	SNE	
Sao Paulo	 SP [Aeroporto de Congonhas]	CGH	
Sao Paulo	 SP [Aeroporto Internacional Guarulhos]	GRU	
Sao Paulo	 SP [Cumbica]	CUK	
Sao Paulo	 SP [Metropolitan Area]	SAO	
Sao Paulo/Campinas	 SP [Viracopos]	VCP	
Sao Tome	 Sao Tome	TMS	
Sao Vicente	 Sao Vicente	VXE	
Sapmanga	 Papua New Guinea	SMH	
Saporro [Chitose]	 Japan	SPK	
Saposoa	 Peru	SFS	
Sapporo [Okadama]	 Japan	OKD	
Saqani	 Fiji	AQS	
Sara	 Vanuatu	SSR	
Sarajevo	 Bosnia-Herzegovina	SJJ	
Saranac Lake	 NY [Adirondack Airport]	SLK	
Saransk	 Mordvinia	SKX	
Sarasota/Bradenton	 FL [Sarasota-Bradenton Airport]	SRQ	
Saratoga	 WY [Shively Field]	SAA	
Saratov	 Saratov	RTW	
Saravane	 Laos	VNA	
Saravena	 Colombia	RVE	
Sardeh Band	 Afghanistan	SBF	
Sargodha	 Pakistan	BHW	
Sargodha	 Pakistan	SGI	
Sarh	 Chad	SRH	
Sarichef	 AK	WSF	
Sarmi	 New Guinea	ZRM	
Sarnia	 ON [Sarnia Airport]	YZR	
Sartaneja	 Belize	SJX	
Sary	 Iran	SRY	
Saskatoon	 SK [Saskatoon Airport]	YXE	
Sassandra	 Ivory Coast	ZSS	
Sasstown	 Liberia	SAZ	
Satipo	 Peru	SFK	
Satna	 India	TNI	
Satu Mare	 Romania	SUJ	
Saubi	 Papua New Guinea	SBE	
Saudarkrokur	 Iceland	SAK	
Saul	 French Guyana	XAU	
Sault Ste. Marie	 MI [Chippewa County Int'l Airport]	CIU	
Sault Ste. Marie	 MI [Kinchelde Air Force Base]	INR	
Sault Ste. Marie	 MI USA	SSM	
Sault Ste. Marie	 ON [Sault Ste. Marie Airport]	YAM	
Saumlaki	 Indonesia	SXK	
Saurimo	 Angola	VHC	
Sausalito	 CA [Commodore Center Heliport]	JMC	
Savannah	 GA [Hunter Army Air Field]	SVN	
Savannah	 GA [Savannah International Airport]	SAV	
Savannakhet	 Laos	ZVK	
Save	 Benin	SVF	
Savo	 Solomon Islands	SVY	
Savonlinna	 Finland	SVL	
Savoonga	 AK [Savoonga Airport]	SVA	
Savusavu	 Fiji	SVU	
Sawu	 Indonesia	SAU	
Sayaboury	 Laos	ZBY	
Scammon Bay	 AK [Scammon Bay Airport]	SCM	
Scampton	 England [Scampton RAF Station]	SQZ	
Schefferville	 QC [Schefferville Airport]	YKL	
Schenectady	 NY [Schenectady County Airport]	SCH	
Scilly Isles	 England [St. Mary's Airport]	ISC	
Scilly Tresco	 United Kingdom	TSO	
Scone	 New South Wales	NSO	
Scoresbysund	 Greenland	OBY	
Scott City	 KS [Scott City Municipal Airport]	TQK	
Scottsbluff	 NE [William B. Heilig Field]	BFF	
Scottsdale	 AZ [Scottsdale Airport]	SCF	
Scranton	 PA [Municipal]	SCR	
Scribner	 NE [Scribner State Airport]	SCB	
Sculthorpe	 United Kingdom	ZXE	
Scusciuban	 Somalia	CMS	
Seal Bay	 AK	SYB	
Searcy	 AR [Searcy Municipal Airport]	SRC	
Seattle (Kenmore)	 WA [Seaplane Base]	KEH	
Seattle	 WA [Boeing Field/King County]	BFI	
Seattle	 WA [Lake Union Chrysler Air Seaplane Base]	LKE	
Seattle	 WA [Seattle-Tacoma International Airport]	SEA	
Sebba	 Burkina Faso	XSE	
Sebha	 Libya	SEB	
Sebring	 FL [Sebring Regional Airport]	SEF	
Sechelt	 BC [Sechelt Water Aerodrome]	YHS	
Seconda	 South Africa	ZEC	
Sedalia	 MO [Sedalia Memorial Airport]	DMO	
Sedom	 Israel	SED	
Sedona	 AZ [Sedona Airport]	SDX	
Seeheim	 Germany	QSH	
Sege	 Solomon Islands	EGM	
Segou	 Mali	SZU	
Seguela	 Ivory Coast	SEO	
Sehonghong	 Lesotho	SHK	
Sehulea	 Papua New Guinea	SXH	
Seinajoki	 Finland	SJY	
Seiyun	 Yemen	GXF	
Sekakes	 Lesotho	SKQ	
Selawik	 AK [Selawik Airport]	WLK	
Seldovia	 AK [Seldovia Airport]	SOV	
Selibaby	 Mauritania	SEY	
Selibi Phikwe	 Botswana	PKW	
Selinsgrove	 PA [Penn Valley Airport]	SEG	
Selma	 AL [Craig Field]	SEM	
Selma	 AL [Craig Field]	SES	
Selmer	 TN [Robert Sibley Airport]	SZY	
Semarang [Achmadyani]	 Indonesia	SRG	
Sematan	 Malaysia	BSE	
Sembach	 Germany	SEX	
Semey (Semipalatinsk)	 Semey	PLX	
Semongkong	 Lesotho	SOK	
Semporna	 Sabah	SMM	
Sena Madureira	 AC	ZMD	
Senanga	 Zambia	SXG	
Sendai	 Honshu	SDJ	
Senggeh	 Indonesia	SEH	
Senggo	 Indonesia	ZEG	
Senhor do Bonfim	 BA	SEI	
Senipah	 Indonesia	SZH	
Seno	 Laos	SND	
Seo de Urgel	 Spain	LEU	
Seoul [Geoje Heliport]	 South Korea	JGE	
Seoul [Kimpo]	 South Korea	SEL	
Seoul [Seoul Air Base]	 South Korea	SSN	
Sept-Iles	 QC [Sept-Iles Airport]	YZV	
Sepulot	 Malaysia	SPE	
Sequim	 WA [Grand View International Airport]	SQV	
Seronera	 Tanzania	SEU	
Serra Norte	 MT	RRN	
Serra Pelada	 Brazil	RSG	
Serre Chevalier	 France	SEC	
Sert	 Libya	SRX	
Serui	 Indonesia	ZRI	
Sesheke	 Zambia	SJQ	
Seshutes	 Lesotho	SHZ	
Sette Cama	 Gabon	ZKM	
Sevilla [San Pablo]	 Spain	SVQ	
Sewanee	 TN [Franklin County Airport]	UOS	
Seward	 AK [Seward Airport]	SWD	
Seymour	 IN [Freeman Municipal Airport]	SER	
Sfax [Thyna]	 Tunisia	SFA	
Shafter	 CA [Shafter Airport-Minter Field]	MIT	
Shageluk	 AK [Shageluk Airport]	SHX	
Shakiso	 Ethiopia	SKR	
Shaktoolik	 AK [Shaktoolik Airport]	SKK	
Shamattawa	 MB [Shamattawa Airport]	ZTM	
Shamshernagar	 Bangladesh	ZHM	
Shanghai [Hongqiao]	 China	SHA	
Shangri La	 OK	NRI	
Shanhaiguan	 China	SHF	
Shannon (Limerick)	 Ireland	SNN	
Shantou	 China	SWA	
Shaoguan	 China	HSC	
Sharjah	 United Arab Emirates	SHJ	
Sharm El Sheikh [Ras Nasrani]	 Egypt	SSH	
Sharpe Army Depot (Lathrop)	 CA [Sharpe Army Air Field]	LRO	
Sharurah	 Saudi Arabia	SHW	
Shashi	 China	SHS	
Shauliaj	 Lithuania	HLJ	
Shaw River	 Western Australia	SWB	
Shawnee	 OK [Shawnee Municipal Airport]	SNL	
Shay Gap	 Western Australia	SGP	
Sheboygan	 WI [Sheboygan County Memorial Airport]	SBM	
Sheep Mountain	 AK [Sheep Mountain Airport]	SMU	
Shehdi	 Ethiopia	SQJ	
Shelby	 MT [Shelby Airport]	SBX	
Shelby	 NC [Shelby Municipal Airport]	EHO	
Shelbyville	 TN [Bomar Field-Shelbyville Municipal Airport]	SYI	
Sheldon Point	 AK [Sheldon Point Airport]	SXP	
Shelton	 WA [Sanderson Field]	SHN	
Shemya Island	 AK [Shemya Air Force Base]	SYA	
Shenchiu	 China	SYQ	
Shenyang	 China	SHE	
Sheperd Bay	 NT [Sheperd Bay Airport]	YUS	
Shepparton	 Victoria	SHT	
Sherbrooke	 QC [Sherbrooke Airport]	YSC	
Sheridan	 WY [Sheridan County Airport]	SHR	
Sherman/Denison	 TX [Grayson County Airport]	PNX	
Shetland Islands	 Shetland Islands	SDZ	
Shijiazhuang	 China	SJW	
Shillavo	 Ethiopia	HIL	
Shillong	 India	SHL	
Shilo	 MB [Shilo Airport]	YLO	
Shimkent (Chimkent)	 South Kazakhstan	CIT	
Shimojishima	 Japan	SHI	
Shin Chu	 Taiwan	SQH	
Shingle Point	 YT [Shingle Point Airport]	YUA	
Shinyanga	 Tanzania	SHY	
Shiraz	 Iran	SYZ	
Shirley	 NY [Brookhaven Airport]	WSH	
Shishmaref	 AK [Shishmaref Airport]	SHH	
Shizuoka City	 Japan	QSZ	
Shoal Cove	 AK	HCB	
Sholapur	 India	SSE	
Shonai	 Japan	SYO	
Shoreham	 United Kingdom	ESH	
Show Low	 AZ [Show Low Municipal Airport]	SOW	
Shreveport	 LA [Shreveport Downtown Airport]	DTN	
Shreveport	 LA [Shreveport Regional Airport]	SHV	
Shungnak	 AK [Shungnak Airport]	SHG	
Shute Harbour	 Queensland	JHQ	
Sialkot	 Pakistan	SKT	
Sialum	 Papua New Guinea	SXA	
Siassi	 Papua New Guinea	SSS	
Sibasa	 South Africa	SBC	
Sibi	 Pakistan	SBQ	
Sibisa	 Indonesia	SIW	
Sibiti	 Congo	SIB	
Sibiu	 Romania	SBZ	
Sibu	 Sarawak	SBW	
Sidi Ifni	 Morocco	SII	
Sidney	 MT [Sidney-Richland Municipal Airport]	SDY	
Sidney	 NE [Sidney Municipal Airport]	SNY	
Sidney	 NY [Sidney Municipal Airport]	SXY	
Siegen	 Germany	SGE	
Siem Reap [Angkor]	 Cambodia	REP	
Siena	 Italy	SAY	
Sierra Grande	 Argentina	SGV	
Sierra Leone	 Sierra Leone	SRK	
Siglufjordur	 Iceland	SIJ	
Sigonella	 Italy	NSY	
Siguiri	 Guinea	GII	
Sikasso	 Mali	KSS	
Sikeston	 MO [Sikeston Memorial Municipal Airport]	SIK	
Sila	 Papua New Guinea	SIL	
Silchar	 India	IXS	
Silgadi Doti	 Nepal	SIH	
Silistra	 Bulgaria	SLS	
Siloam Springs	 AR [Smith Field]	SLG	
Silver Bay	 MN [Silver Bay Municipal Airport]	BFW	
Silver City	 NM [Grant County Airport]	SVC	
Silver Creek	 Belize	SVK	
Silver Plains	 Queensland	SSP	
Sim	 Papua New Guinea	SMJ	
Simanggang	 Malaysia	SGG	
Simao	 China	SYM	
Simbai	 Papua New Guinea	SIM	
Simbirsk (Ulyanovsk)	 Ul'yanovsk	ULY	
Simenti	 Senegal	SMY	
Simferopol	 Adygea	SIP	
Simikot	 Nepal	IMK	
Simla	 India	SLV	
Simmons	 MI	XMQ	
Simra	 Nepal	SIF	
Sindal	 Denmark	CNL	
Sines	 Portugal	SIE	
Singapore [Changi International Airport]	 Singapore	SIN	
Singapore [Payalebaar]	 Singapore	QPG	
Singapore [Seletar]	 Singapore	XSP	
Singaua	 Papua New Guinea	SGB	
Singkep [Dabo Airport]	 Indonesia	SIQ	
Singleton	 New South Wales	SIX	
Sinoe	 Liberia	SNI	
Sinop [Sinop Army Air Field]	 Turkey	SIC	
Sinop	 MT	OPS	
Sintang	 Borneo	SQG	
Sion (Sitten)	 Switzerland	SIR	
Sioux City	 IA [Sioux Gateway Airport]	SUX	
Sioux Falls	 SD [Joe Foss Field]	FSD	
Sioux Lookout	 ON [Sioux Lookout Airport]	YXL	
Sipitang	 Malaysia	SPT	
Sipora	 Indonesia	RKO	
Sirajganj	 Bangladesh	SAJ	
Siren	 WI [Burnett County Airport]	RZN	
Sirkhet	 Nepal	SKH	
Sirri Island	 Iran	SXI	
Sishen	 South Africa	SIS	
Sissano	 Papua New Guinea	SIZ	
Sitia	 Crete	JSH	
Sitiawan	 Malaysia	SWY	
Sitka	 AK [Sitka Airport]	SIT	
Sitkinak	 AK	SKJ	
Sittwe (Akyab)	 Myanmar	AKY	
Siuna	 Nicaragua	SIU	
Sivas	 Turkey	VAS	
Siwa	 Egypt	SEW	
Siwea	 Papua New Guinea	SWE	
Skagway	 AK [Skagway Airport]	SGY	
Skardu	 Pakistan	KDU	
Skein [Geiteryggen]	 Norway	SKE	
Skeldon	 Guyana	SKM	
Skelleftea	 Sweden	SFT	
Skiathos	 Greece	JSI	
Skikda	 Algeria	SKI	
Skiros	 Greece	SKU	
Skopje	 Macedonia	SKP	
Skovde	 Sweden	KVB	
Skrydstrup [Vogens]	 Denmark	SKS	
Skukuza	 South Africa	SZK	
Skwentna	 AK [Skwentna Airport]	SKW	
Slate Island	 ON	YSS	
Slave Lake	 AB [Slave Lake Airport]	YZH	
Sleetmute	 AK [Sleetmute Airport]	SLQ	
Sliac	 Slovakia	SLD	
Sligo	 Ireland	SXL	
Slupsk	 Poland	OSP	
Smara	 Morocco	SMW	
Smiggin Holes	 New South Wales	QZC	
Smith Cove	 AK	SCJ	
Smith Falls/Montague	 ON [Smith Falls/Montague Airport]	YSH	
Smith Point	 Northern Territory	SHU	
Smithers	 BC [Smithers Airport]	YYD	
Smithton	 Tasmania	SIO	
Smolensk	 Smolensk	LNX	
Smyrna	 TN [Smyrna Airport]	MQY	
Snake Bay	 Northern Territory	SNB	
Snake River	 YT	YXF	
Snowdrift	 NT [Snowdrift Aerodrome]	YSG	
Snowdrift	 NT [Snowdrift Aerodrome]	YSW	
Snyder	 TX [Winston Field]	SNK	
Soalala	 Madagascar	DWB	
Sobral	 CE	QBX	
Soc Trang	 Vietnam	SOA	
Socorro	 NM [Socorro Municipal Airport]	ONM	
Socotra	 Yemen	SCT	
Sodankyla	 Finland	SOT	
Soddu	 Ethiopia	SXU	
Soderhamn	 Sweden	SOO	
Sodertalje [Heliport]	 Sweden	JSO	
Soerkjosen (Sorkjosen)	 Norway	SOJ	
Sofia [Vrajdebna]	 Bulgaria	SOF	
Sogamoso	 Colombia	SOX	
Sogndal [Haukasen]	 Norway	SOG	
Sokcho	 South Korea	SHO	
Sokhumi	 Abkhazia	SUI	
Sokoto	 Nigeria	SKO	
Sola	 Vanuatu	SLH	
Solano	 Venezuela	SQF	
Soldotna	 AK [Soldotna Airport]	SXQ	
Solita	 Venezuela	SOH	
Solo City [Adisumarmo]	 Indonesia	SOC	
Solomon	 AK [Solomon State Field]	SOL	
Solon Springs	 WI [Solon Springs Municipal Airport]	OLG	
Solwezi	 Zambia	SLI	
Somerset	 KY USA	SME	
Sonderborg (Soenderborg)	 Denmark	SGD	
Sondre Stromfjord (Kangerlussuaq) [Stromfjord Air Base]	 Greenland	SFJ	
Songea	 Tanzania	SGX	
Songkhla	 Thailand	SGZ	
Sophia Antipolis [Heliport]	 France	SXD	
Sopu	 Papua New Guinea	SPH	
Soroako	 Indonesia	SQR	
Sorocaba	 Brazil	SOD	
Sorong [Jefman]	 Indonesia	SOQ	
Soroti	 Uganda	SRT	
Sorrento	 Italy	RRO	
Sorvag (Faroe Islands)	 Faroe Is. [Vagar]	FAE	
Souanke	 Congo	SOE	
Sousse	 Tunisia	QSO	
South Andros	 Andros [Congo Town]	TZN	
South Bend	 IN [Michiana Regional Transportation Airport]	SBN	
South Caicos Is.	 Turks & Caicos	XSC	
South Galway	 Australia	ZGL	
South Indian Lake	 MB [South Indian Lake Airport]	XSI	
South Molle Island	 Queensland	SOI	
South Naknek	 AK [South Naknek nr. 2 Airport]	WSN	
South Trout Lake	 ON	ZFL	
South West Bay	 Vanuatu	SWJ	
South Weymouth	 MA USA	NZW	
Southampton	 England [Eastleigh]	SOU	
Southend	 England	SEN	
Southern Cross	 Western Australia	SQC	
Southport	 NC [Brunswick County Airport]	SHQ	
Soyo	 Angola	SZA	
Spangdahlem [Spangdahlem Air Base]	 Germany	SPM	
Spanish Wells	 Bahamas	SWL	
Sparrevohn	 AK [Sparrevohn LRRS]	SVW	
Sparta	 Greece	SPJ	
Sparta	 IL [Sparta Community Airport-Hunter Field]	SAR	
Sparta	 WI [Sparta/Fort McCoy Airport]	CMY	
Spartanburg	 SC [Spartanburg Downtown Memorial Airport]	SPA	
Spearfish	 SD [Black Hills Airport-Clyde Ice Field]	SPF	
Spence Bay	 NT	YYH	
Spencer	 IA [Spencer Municipal Airport]	SPW	
Spetsai Island	 Greenland	JSS	
Spiez	 Switzerland	ZSZ	
Split [Kastel]	 Croatia	SPU	
Spokane	 WA [Fairchild Air Force Base]	SKA	
Spokane	 WA [Felts Field]	SFF	
Spokane	 WA [Spokane International Airport]	GEG	
Spring Creek	 Queensland	SCG	
Spring Island	 BC	YSQ	
Spring Point	 Crooked [Municipal]	AXP	
Springbok	 South Africa	SBU	
Springdale	 AR [Springdale Municipal Airport]	SPZ	
Springfield	 IL [Capital Airport]	SPI	
Springfield	 MA	SFY	
Springfield	 MO [Springfield Regional Airport]	SGF	
Springfield	 OH [Springfield-Beckley Municipal Airport]	SGH	
Springfield	 VT [Hartness State (Springfield) Airport]	VSF	
Springfield/Chicopee	 MA USA	CEF	
Springvale	 Queensland	KSV	
Springvale	 Western Australia	ZVG	
Srinagar	 India	SXR	
St-Honore	 QC [St-Honore Airport]	YRC	
St-Jean	 QC [St-Jean Airport]	YJN	
St.-Crepin	 France	SCP	
St.-Leonard	 NB [St.-Leonard Airport]	YSL	
St. Andrews	 Scotland	ADX	
St. Anthony	 NF [St. Anthony Airport]	YAY	
St. Augustine	 FL [St. Augustine Airport]	UST	
St. Catharines	 ON [St. Catharines Airport]	YCM	
St. Cloud	 MN [St. Cloud Hospital Heliport]	JSK	
St. Cloud	 MN [St. Cloud Municipal Airport]	STC	
St. Eustathius [F.D. Roosevelt]	 Netherlands Antilles	EUX	
St. Francis	 KS [Cheyenne County Municipal Airport]	SYF	
St. George Island	 AK [St. George Airport]	STG	
St. George Oyapock	 French Guyana	OYP	
St. George	 Queensland	SGO	
St. George	 UT [St. George Municipal Airport]	SGU	
St. Helens	 Tasmania	HLS	
St. John's	 NF [St. John's Airport]	YYT	
St. Johns	 AZ [St. Johns Industrial Air Park]	SJN	
St. Joseph	 MO [Rosecrans Memorial Airport]	STJ	
St. Laurent du Maroni	 French Guyana	LDX	
St. Louis	 MO [Lambert-St. Louis International Airport]	STL	
St. Louis	 MO [Missouri Air National Guard Airport]	RMF	
St. Louis	 MO [Spirit of St. Louis Airport]	SUS	
St. Lucia (Castries) [Vigie]	 St. Lucia	SLU	
St. Lucia (Vieux Fort) [Hewanorra]	 St. Lucia	UVF	
